"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"49","15072 DAHLIA DR",0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Byberry","-74.9892674075124","40.1201443756139",c(-74.9892674075124, 40.1201443756139)
"50","13067 TOWNSEND RD",0.03,0.04,0.06,0.09,0.14,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Byberry","-74.9775305511484","40.1085863794751",c(-74.9775305511484, 40.1085863794751)
"51","15097 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.09,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Byberry","-74.9867863138472","40.1191776867517",c(-74.9867863138472, 40.1191776867517)
"52","15089 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.09,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Byberry","-74.9870887587308","40.118945182649",c(-74.9870887587308, 40.118945182649)
"53","15005 SUNFLOWER DR",0.02,0.04,0.06,0.09,0.13,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Byberry","-74.990180051131","40.1168355801201",c(-74.990180051131, 40.1168355801201)
"54","15087 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.09,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Byberry","-74.9871665806005","40.1188884733796",c(-74.9871665806005, 40.1188884733796)
"55","15115 SUNFLOWER DR",0.02,0.03,0.04,0.06,0.1,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Byberry","-74.9862834246288","40.1203589400303",c(-74.9862834246288, 40.1203589400303)
"56","15099 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.09,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Byberry","-74.9867102159305","40.1192358816103",c(-74.9867102159305, 40.1192358816103)
"57","2684 BLUEBELL CT",0.02,0.03,0.04,0.07,0.1,0.18,0.26,0.34,0.44,0.55,0.18,0.26,0.34,0.44,0.55,"Byberry","-74.9847733729732","40.1223912660295",c(-74.9847733729732, 40.1223912660295)
"58","15069 SUNFLOWER DR",0.02,0.03,0.04,0.06,0.09,0.17,0.24,0.33,0.43,0.53,0.17,0.24,0.33,0.43,0.53,"Byberry","-74.9880057418814","40.119002528363",c(-74.9880057418814, 40.119002528363)
