"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"36","5222 GREENE ST",0,0.01,0.01,0.02,0.03,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Germantown - Penn Knox","-75.1697847736548","40.0296370456661",c(-75.1697847736548, 40.0296370456661)
"37","144 W QUEEN LN",0.04,0.06,0.09,0.13,0.19,0.1,0.15,0.21,0.28,0.37,0.1,0.15,0.21,0.28,0.37,"Germantown - Penn Knox","-75.1711135961574","40.0290145310196",c(-75.1711135961574, 40.0290145310196)
"38","5337 WAYNE AVE",0.06,0.09,0.13,0.2,0.28,0.07,0.11,0.15,0.22,0.3,0.07,0.11,0.15,0.22,0.3,"Germantown - Penn Knox","-75.1737604875964","40.0290702091784",c(-75.1737604875964, 40.0290702091784)
"39","5221 KNOX ST",0.04,0.06,0.09,0.14,0.2,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Germantown - Penn Knox","-75.1701892397158","40.0289019915835",c(-75.1701892397158, 40.0289019915835)
"40","20 W QUEEN LN",0.06,0.09,0.13,0.2,0.28,0.07,0.11,0.15,0.22,0.3,0.07,0.11,0.15,0.22,0.3,"Germantown - Penn Knox","-75.1688367525599","40.0313581258952",c(-75.1688367525599, 40.0313581258952)
"41","137 HANSBERRY ST",0.04,0.06,0.09,0.13,0.19,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Germantown - Penn Knox","-75.1697502675646","40.0287849698017",c(-75.1697502675646, 40.0287849698017)
"42","55 W PENN ST",0.01,0.01,0.01,0.02,0.03,0.07,0.1,0.15,0.21,0.29,0.07,0.1,0.15,0.21,0.29,"Germantown - Penn Knox","-75.1708430220788","40.0312208352536",c(-75.1708430220788, 40.0312208352536)
"43","118 W QUEEN LN",0.06,0.09,0.13,0.19,0.28,0.07,0.11,0.16,0.22,0.3,0.07,0.11,0.16,0.22,0.3,"Germantown - Penn Knox","-75.1705512591167","40.0296847421111",c(-75.1705512591167, 40.0296847421111)
"44","5213 MARION ST",0.06,0.09,0.13,0.2,0.28,0.07,0.11,0.15,0.22,0.3,0.07,0.11,0.15,0.22,0.3,"Germantown - Penn Knox","-75.1696198498582","40.0291849551238",c(-75.1696198498582, 40.0291849551238)
"45","109 W PENN ST",0.04,0.06,0.09,0.13,0.19,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Germantown - Penn Knox","-75.171518549171","40.0305541288737",c(-75.171518549171, 40.0305541288737)
"46","5428 GREENE ST",0.04,0.07,0.1,0.15,0.22,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Germantown - Penn Knox","-75.173234236229","40.0318615943235",c(-75.173234236229, 40.0318615943235)
"47","114 W COULTER ST",0.04,0.06,0.09,0.13,0.19,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Germantown - Penn Knox","-75.1725511095317","40.0308370357542",c(-75.1725511095317, 40.0308370357542)
