"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"62","12237 RAMBLER RD",0.03,0.04,0.06,0.1,0.15,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Parkwood Manor","-74.9801382641537","40.099988176196",c(-74.9801382641537, 40.099988176196)
"63","12511 RICHTON RD",0.01,0.02,0.03,0.05,0.08,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Parkwood Manor","-74.9733301329876","40.0984314277703",c(-74.9733301329876, 40.0984314277703)
"64","12402 BARBARY RD",0.02,0.03,0.05,0.08,0.12,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Parkwood Manor","-74.977758346758","40.1007791308294",c(-74.977758346758, 40.1007791308294)
"65","12842 MCCARTHY CIR",0.02,0.03,0.04,0.06,0.09,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Parkwood Manor","-74.9625971513445","40.0969402240436",c(-74.9625971513445, 40.0969402240436)
"66","3145 BELGREEN RD",0.02,0.03,0.05,0.07,0.11,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Parkwood Manor","-74.9751564645986","40.1023201334525",c(-74.9751564645986, 40.1023201334525)
"67","12484 SWEET BRIAR RD",0.03,0.05,0.08,0.11,0.17,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Parkwood Manor","-74.9799634512089","40.1039234971577",c(-74.9799634512089, 40.1039234971577)
"68","12517 CALPINE RD",0.02,0.03,0.04,0.07,0.1,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Parkwood Manor","-74.9721427300722","40.0982784827931",c(-74.9721427300722, 40.0982784827931)
"69","12445 SWEET BRIAR RD",0.03,0.05,0.07,0.11,0.16,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Parkwood Manor","-74.9797972734808","40.1034601507517",c(-74.9797972734808, 40.1034601507517)
"70","12720 VERDA DR",0.01,0.02,0.03,0.05,0.08,0.27,0.36,0.46,0.57,0.67,0.27,0.36,0.46,0.57,0.67,"Parkwood Manor","-74.9636684588174","40.0938033341765",c(-74.9636684588174, 40.0938033341765)
"71","3705 GENESEE DR",0.03,0.04,0.07,0.1,0.15,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Parkwood Manor","-74.9700560243091","40.0925323316509",c(-74.9700560243091, 40.0925323316509)
"72","3234 LESTER RD",0.02,0.02,0.04,0.06,0.09,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Parkwood Manor","-74.9677817832994","40.101425441664",c(-74.9677817832994, 40.101425441664)
"73","12232 RAMBLER RD",0.04,0.06,0.09,0.14,0.2,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Parkwood Manor","-74.9805483561951","40.0990486739489",c(-74.9805483561951, 40.0990486739489)
"74","3321 WOODHAVEN RD",0.03,0.04,0.06,0.09,0.14,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Parkwood Manor","-74.9807743824632","40.0951149443142",c(-74.9807743824632, 40.0951149443142)
"75","3649 FRIAR RD",0.01,0.02,0.03,0.04,0.06,0.16,0.22,0.31,0.4,0.51,0.16,0.22,0.31,0.4,0.51,"Parkwood Manor","-74.9661672938614","40.0951633660603",c(-74.9661672938614, 40.0951633660603)
"76","12807 MCCARTHY CIR",0.02,0.03,0.04,0.07,0.1,0.17,0.24,0.32,0.42,0.53,0.17,0.24,0.32,0.42,0.53,"Parkwood Manor","-74.9624276740225","40.0944240234796",c(-74.9624276740225, 40.0944240234796)
"77","3609 NANTON TER",0.02,0.04,0.06,0.09,0.14,0.18,0.25,0.34,0.44,0.55,0.18,0.25,0.34,0.44,0.55,"Parkwood Manor","-74.9707153014298","40.0917053242314",c(-74.9707153014298, 40.0917053242314)
"78","12850 MEDFORD RD",0.01,0.02,0.03,0.04,0.07,0.23,0.31,0.41,0.51,0.62,0.23,0.31,0.41,0.51,0.62,"Parkwood Manor","-74.9644082311696","40.0988261444349",c(-74.9644082311696, 40.0988261444349)
"79","2921 SECANE DR",0.02,0.03,0.05,0.08,0.11,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Parkwood Manor","-74.9781570189518","40.100770962249",c(-74.9781570189518, 40.100770962249)
"80","12416 MEDFORD RD",0.02,0.03,0.05,0.08,0.12,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Parkwood Manor","-74.9753031028638","40.0987716733941",c(-74.9753031028638, 40.0987716733941)
