"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"61","6120 REEDLAND ST",0.03,0.05,0.07,0.11,0.16,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Elmwood","-75.2257565665143","39.9260118022476",c(-75.2257565665143, 39.9260118022476)
"62","7252 GRAYS AVE",0.06,0.09,0.13,0.19,0.27,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Elmwood","-75.2426858108436","39.9153459979998",c(-75.2426858108436, 39.9153459979998)
"63","2511 S DEWEY ST",0.05,0.07,0.11,0.16,0.23,0.09,0.12,0.18,0.25,0.33,0.09,0.12,0.18,0.25,0.33,"Elmwood","-75.2249148926865","39.9255437588213",c(-75.2249148926865, 39.9255437588213)
"64","2644 MUHLFELD ST",0.05,0.08,0.12,0.17,0.25,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"Elmwood","-75.2362536013231","39.9143773315553",c(-75.2362536013231, 39.9143773315553)
"65","2613 CARROLL ST",0.04,0.07,0.1,0.16,0.23,0.08,0.12,0.17,0.24,0.33,0.08,0.12,0.17,0.24,0.33,"Elmwood","-75.2330650550136","39.9175784288295",c(-75.2330650550136, 39.9175784288295)
"66","6362 THEODORE ST",0.04,0.07,0.1,0.16,0.23,0.1,0.15,0.21,0.28,0.37,0.1,0.15,0.21,0.28,0.37,"Elmwood","-75.2278990458255","39.9222766831837",c(-75.2278990458255, 39.9222766831837)
"67","2659 S FELTON ST",0.03,0.04,0.07,0.1,0.15,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"Elmwood","-75.2240872058977","39.9225230617688",c(-75.2240872058977, 39.9225230617688)
"68","2658 HOLBROOK ST",0.03,0.05,0.08,0.12,0.18,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Elmwood","-75.235484533934","39.9144984736257",c(-75.235484533934, 39.9144984736257)
"69","6420 DICKS AVE",0.05,0.07,0.11,0.16,0.23,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Elmwood","-75.2266522608201","39.9201886078594",c(-75.2266522608201, 39.9201886078594)
"70","6215 HARLEY AVE",0.03,0.04,0.06,0.1,0.15,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Elmwood","-75.2228652221707","39.9217389594926",c(-75.2228652221707, 39.9217389594926)
"71","2557 S MILLICK ST",0.05,0.07,0.11,0.16,0.24,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Elmwood","-75.2231034628384","39.9254424261735",c(-75.2231034628384, 39.9254424261735)
"72","6167 GLENMORE AVE",0.03,0.05,0.07,0.11,0.16,0.12,0.18,0.25,0.33,0.43,0.12,0.18,0.25,0.33,0.43,"Elmwood","-75.2280732796827","39.9266999446159",c(-75.2280732796827, 39.9266999446159)
"73","2511 S ROBINSON ST",0.03,0.04,0.07,0.1,0.15,0.11,0.16,0.22,0.3,0.39,0.11,0.16,0.22,0.3,0.39,"Elmwood","-75.2253855919673","39.9252086808412",c(-75.2253855919673, 39.9252086808412)
"74","2432 S EDGEWOOD ST",0.03,0.05,0.08,0.12,0.18,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Elmwood","-75.2247365579631","39.9272852572463",c(-75.2247365579631, 39.9272852572463)
"75","6846 GUYER AVE",0.04,0.07,0.1,0.15,0.22,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Elmwood","-75.2321060729647","39.9157008670964",c(-75.2321060729647, 39.9157008670964)
"76","2509 S DEWEY ST",0.03,0.05,0.07,0.11,0.17,0.11,0.15,0.22,0.3,0.39,0.11,0.15,0.22,0.3,0.39,"Elmwood","-75.2249535464204","39.9255765449779",c(-75.2249535464204, 39.9255765449779)
"77","6100 REEDLAND ST",0.03,0.05,0.08,0.11,0.17,0.12,0.17,0.24,0.33,0.42,0.12,0.17,0.24,0.33,0.42,"Elmwood","-75.2253393144903","39.9263043384989",c(-75.2253393144903, 39.9263043384989)
"78","2526 CARROLL ST",0.04,0.06,0.1,0.15,0.21,0.12,0.17,0.23,0.31,0.41,0.12,0.17,0.23,0.31,0.41,"Elmwood","-75.234503770783","39.9183078189914",c(-75.234503770783, 39.9183078189914)
"79","2651 S 70TH ST",0.03,0.05,0.08,0.12,0.17,0.11,0.15,0.21,0.29,0.39,0.11,0.15,0.21,0.29,0.39,"Elmwood","-75.2347671736227","39.9152410238923",c(-75.2347671736227, 39.9152410238923)
"80","6037 BUIST AVE",0.05,0.07,0.11,0.16,0.24,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Elmwood","-75.2229676090338","39.9251438695069",c(-75.2229676090338, 39.9251438695069)
"81","2510 S 67TH ST",0.03,0.05,0.08,0.12,0.17,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Elmwood","-75.2327615529027","39.9200068126293",c(-75.2327615529027, 39.9200068126293)
"82","2602 SYLMAR ST",0.05,0.08,0.12,0.17,0.25,0.08,0.11,0.16,0.23,0.31,0.08,0.11,0.16,0.23,0.31,"Elmwood","-75.2355331675304","39.9161386163095",c(-75.2355331675304, 39.9161386163095)
"83","2516 S FELTON ST",0.03,0.04,0.06,0.1,0.15,0.12,0.18,0.25,0.33,0.43,0.12,0.18,0.25,0.33,0.43,"Elmwood","-75.2265629209753","39.9241412473775",c(-75.2265629209753, 39.9241412473775)
"84","2911 S FELTON ST",0.03,0.04,0.07,0.1,0.15,0.13,0.18,0.25,0.33,0.43,0.13,0.18,0.25,0.33,0.43,"Elmwood","-75.2222735568141","39.9215439413427",c(-75.2222735568141, 39.9215439413427)
"85","6012 LINDBERGH BLVD",0.03,0.05,0.07,0.11,0.17,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Elmwood","-75.2211921179049","39.9248053938797",c(-75.2211921179049, 39.9248053938797)
"86","2641 S DEWEY ST",0.05,0.08,0.11,0.17,0.24,0.1,0.15,0.21,0.28,0.37,0.1,0.15,0.21,0.28,0.37,"Elmwood","-75.2229270437272","39.9238775463854",c(-75.2229270437272, 39.9238775463854)
"87","2520 S 61ST ST",0.05,0.07,0.11,0.17,0.24,0.1,0.15,0.21,0.28,0.38,0.1,0.15,0.21,0.28,0.38,"Elmwood","-75.2245383634958","39.9255126878721",c(-75.2245383634958, 39.9255126878721)
"88","2828 BITTERN PL",0.03,0.05,0.08,0.12,0.17,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"Elmwood","-75.225739238688","39.9168638633069",c(-75.225739238688, 39.9168638633069)
"89","2614 CARROLL ST",0.04,0.07,0.1,0.15,0.22,0.08,0.12,0.17,0.24,0.33,0.08,0.12,0.17,0.24,0.33,"Elmwood","-75.233331568728","39.9173219061256",c(-75.233331568728, 39.9173219061256)
"90","7252 ELMWOOD AVE",0.05,0.07,0.11,0.16,0.23,0.2,0.27,0.37,0.47,0.57,0.2,0.27,0.37,0.47,0.57,"Elmwood","-75.2414156695921","39.9140906096234",c(-75.2414156695921, 39.9140906096234)
"91","2414 S MILLICK ST",0.03,0.05,0.08,0.12,0.18,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Elmwood","-75.2254915282768","39.9271972994674",c(-75.2254915282768, 39.9271972994674)
"92","6140 REEDLAND ST",0.07,0.1,0.15,0.22,0.3,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Elmwood","-75.2261841761338","39.9257128413491",c(-75.2261841761338, 39.9257128413491)
"93","6155 ELMWOOD AVE",0.04,0.06,0.09,0.14,0.21,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Elmwood","-75.2262841296926","39.9253544049214",c(-75.2262841296926, 39.9253544049214)
"94","2524 S GROSS ST",0.04,0.06,0.1,0.15,0.21,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Elmwood","-75.2277396757839","39.9232353416215",c(-75.2277396757839, 39.9232353416215)
"95","6219 BUIST AVE",0.03,0.04,0.07,0.1,0.15,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Elmwood","-75.2258873722799","39.9235063821826",c(-75.2258873722799, 39.9235063821826)
"96","6423 GARMAN ST",0.05,0.08,0.12,0.17,0.24,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Elmwood","-75.2279448597805","39.9211936886412",c(-75.2279448597805, 39.9211936886412)
"97","2615 SHIELDS ST",0.05,0.08,0.12,0.18,0.26,0.08,0.12,0.18,0.24,0.33,0.08,0.12,0.18,0.24,0.33,"Elmwood","-75.2302806239295","39.9194668775459",c(-75.2302806239295, 39.9194668775459)
"98","6702 DOREL ST",0.03,0.05,0.08,0.12,0.17,0.11,0.15,0.21,0.29,0.39,0.11,0.15,0.21,0.29,0.39,"Elmwood","-75.229228761354","39.9170541364807",c(-75.229228761354, 39.9170541364807)
"99","6806 GREBE PL",0.04,0.07,0.1,0.16,0.23,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Elmwood","-75.2281664718165","39.9136171859557",c(-75.2281664718165, 39.9136171859557)
"100","7000 REEDLAND ST",0.05,0.08,0.12,0.17,0.25,0.13,0.18,0.26,0.34,0.44,0.13,0.18,0.26,0.34,0.44,"Elmwood","-75.2379064198968","39.9174340938255",c(-75.2379064198968, 39.9174340938255)
"101","2622 BONNAFFON ST",0.05,0.08,0.12,0.18,0.25,0.08,0.12,0.17,0.24,0.33,0.08,0.12,0.17,0.24,0.33,"Elmwood","-75.2316062688696","39.9182943159072",c(-75.2316062688696, 39.9182943159072)
"102","7114 GRAYS AVE",0.06,0.09,0.13,0.19,0.27,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"Elmwood","-75.2406600493886","39.9167971850395",c(-75.2406600493886, 39.9167971850395)
"103","6510 DICKS AVE",0.03,0.05,0.08,0.12,0.18,0.11,0.15,0.22,0.3,0.39,0.11,0.15,0.22,0.3,0.39,"Elmwood","-75.2276799517003","39.9194450865222",c(-75.2276799517003, 39.9194450865222)
"104","7115 GRAYS AVE",0.05,0.08,0.12,0.18,0.26,0.12,0.17,0.24,0.33,0.42,0.12,0.17,0.24,0.33,0.42,"Elmwood","-75.2412383740557","39.9170555263864",c(-75.2412383740557, 39.9170555263864)
"105","6200 DICKENS AVE",0.04,0.06,0.09,0.14,0.21,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"Elmwood","-75.2255370304781","39.9241234194381",c(-75.2255370304781, 39.9241234194381)
"106","2650 S 65TH ST",0.04,0.05,0.08,0.13,0.19,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Elmwood","-75.2281134779485","39.9199969510778",c(-75.2281134779485, 39.9199969510778)
"107","2705 S 70TH ST",0.03,0.05,0.07,0.11,0.17,0.11,0.16,0.22,0.3,0.4,0.11,0.16,0.22,0.3,0.4,"Elmwood","-75.2342394993256","39.9148292882536",c(-75.2342394993256, 39.9148292882536)
"108","2522 S 67TH ST",0.05,0.08,0.11,0.17,0.24,0.08,0.12,0.18,0.24,0.33,0.08,0.12,0.18,0.24,0.33,"Elmwood","-75.2325311048936","39.9198113879819",c(-75.2325311048936, 39.9198113879819)
"109","7107 ELMWOOD AVE",0.05,0.08,0.13,0.19,0.27,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Elmwood","-75.2394726425814","39.916105456667",c(-75.2394726425814, 39.916105456667)
"110","6341 THEODORE ST",0.04,0.06,0.1,0.15,0.21,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Elmwood","-75.2277324063793","39.9227636642939",c(-75.2277324063793, 39.9227636642939)
"111","2609 S 71ST ST",0.03,0.05,0.08,0.12,0.18,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Elmwood","-75.2371410929711","39.9148119631357",c(-75.2371410929711, 39.9148119631357)
"112","6713 GUYER AVE",0.03,0.05,0.08,0.12,0.18,0.1,0.15,0.21,0.29,0.39,0.1,0.15,0.21,0.29,0.39,"Elmwood","-75.230141589847","39.9174855114846",c(-75.230141589847, 39.9174855114846)
